timestamp,namespace,pod,cpu_millicores,mem_bytes
2026-09-16T14:35:53.000994+00:00,kai-scheduler,kai-operator-69b5d7bcf7-72px4,10.0,56623104
2026-09-16T14:35:53.000994+00:00,kai-scheduler,kai-scheduler-default-5cd4694576-q422p,9.0,25165824
2026-09-16T14:35:53.000994+00:00,kai-scheduler,pod-grouper-65456f756-gxfnl,5.0,11534336
2026-09-16T14:35:53.000994+00:00,kai-scheduler,podgroup-controller-68f9cc8dbf-mq2sk,6.0,11534336
2026-09-16T14:35:53.000994+00:00,kai-scheduler,queue-controller-f86fcd76c-2z76k,6.0,13631488
2026-09-16T14:35:53.000994+00:00,kube-system,coredns-8db54c48d-xwg8k,3.0,22020096
2026-09-16T14:35:53.000994+00:00,kube-system,kwok-controller-5cf8c7c44b-bbjsw,2.0,18874368
2026-09-16T14:35:53.000994+00:00,kube-system,local-path-provisioner-5d9d9885bc-ddln7,1.0,15728640
2026-09-16T14:35:53.000994+00:00,kube-system,metrics-server-786d997795-cxp55,4.0,25165824
2026-09-16T14:35:53.000994+00:00,kube-system,svclb-traefik-cf82b3cd-hd56k,3.0,0
2026-09-16T14:35:53.000994+00:00,kube-system,traefik-9bcdbbd9-pdd86,1.0,32505856
2026-09-16T14:35:53.000994+00:00,pyroscope,pyroscope-0,2.0,20971520
2026-09-16T14:35:53.000994+00:00,pyroscope,pyroscope-alloy-0,5.0,61865984
2026-09-16T14:35:59.253650+00:00,kai-scheduler,kai-operator-69b5d7bcf7-72px4,10.0,56623104
2026-09-16T14:35:59.253650+00:00,kai-scheduler,kai-scheduler-default-5cd4694576-q422p,9.0,25165824
2026-09-16T14:35:59.253650+00:00,kai-scheduler,pod-grouper-65456f756-gxfnl,5.0,11534336
2026-09-16T14:35:59.253650+00:00,kai-scheduler,podgroup-controller-68f9cc8dbf-mq2sk,6.0,11534336
2026-09-16T14:35:59.253650+00:00,kai-scheduler,queue-controller-f86fcd76c-2z76k,6.0,13631488
2026-09-16T14:35:59.253650+00:00,kube-system,coredns-8db54c48d-xwg8k,3.0,22020096
2026-09-16T14:35:59.253650+00:00,kube-system,kwok-controller-5cf8c7c44b-bbjsw,2.0,18874368
2026-09-16T14:35:59.253650+00:00,kube-system,local-path-provisioner-5d9d9885bc-ddln7,1.0,15728640
2026-09-16T14:35:59.253650+00:00,kube-system,metrics-server-786d997795-cxp55,4.0,25165824
2026-09-16T14:35:59.253650+00:00,kube-system,svclb-traefik-cf82b3cd-hd56k,3.0,0
2026-09-16T14:35:59.253650+00:00,kube-system,traefik-9bcdbbd9-pdd86,1.0,32505856
2026-09-16T14:35:59.253650+00:00,pyroscope,pyroscope-0,2.0,20971520
2026-09-16T14:35:59.253650+00:00,pyroscope,pyroscope-alloy-0,5.0,61865984
2026-09-16T14:36:06.077699+00:00,grove-system,grove-operator-5d8746f45-fkj4k,2.0,29360128
2026-09-16T14:36:06.077699+00:00,kai-scheduler,admission-86666f457d-449j8,5.0,13631488
2026-09-16T14:36:06.077699+00:00,kai-scheduler,binder-869fc94c7-vmk65,9.0,18874368
2026-09-16T14:36:06.077699+00:00,kai-scheduler,kai-operator-69b5d7bcf7-72px4,31.0,57671680
2026-09-16T14:36:06.077699+00:00,kai-scheduler,kai-scheduler-default-5cd4694576-q422p,13.0,29360128
2026-09-16T14:36:06.077699+00:00,kai-scheduler,pod-grouper-65456f756-gxfnl,1.0,11534336
2026-09-16T14:36:06.077699+00:00,kai-scheduler,podgroup-controller-68f9cc8dbf-mq2sk,5.0,11534336
2026-09-16T14:36:06.077699+00:00,kai-scheduler,queue-controller-f86fcd76c-2z76k,2.0,13631488
2026-09-16T14:36:06.077699+00:00,kube-system,coredns-8db54c48d-xwg8k,2.0,20971520
2026-09-16T14:36:06.077699+00:00,kube-system,kwok-controller-5cf8c7c44b-bbjsw,1.0,17825792
2026-09-16T14:36:06.077699+00:00,kube-system,local-path-provisioner-5d9d9885bc-ddln7,1.0,15728640
2026-09-16T14:36:06.077699+00:00,kube-system,metrics-server-786d997795-cxp55,17.0,31457280
2026-09-16T14:36:06.077699+00:00,kube-system,svclb-traefik-cf82b3cd-hd56k,0.0,0
2026-09-16T14:36:06.077699+00:00,kube-system,traefik-9bcdbbd9-pdd86,32.0,35651584
2026-09-16T14:36:06.077699+00:00,pyroscope,pyroscope-0,3.0,28311552
2026-09-16T14:36:06.077699+00:00,pyroscope,pyroscope-alloy-0,4.0,67108864
2026-09-16T14:36:12.329220+00:00,grove-system,grove-operator-5d8746f45-fkj4k,2.0,29360128
2026-09-16T14:36:12.329220+00:00,kai-scheduler,admission-86666f457d-449j8,5.0,13631488
2026-09-16T14:36:12.329220+00:00,kai-scheduler,binder-869fc94c7-vmk65,9.0,18874368
2026-09-16T14:36:12.329220+00:00,kai-scheduler,kai-operator-69b5d7bcf7-72px4,31.0,57671680
2026-09-16T14:36:12.329220+00:00,kai-scheduler,kai-scheduler-default-5cd4694576-q422p,13.0,29360128
